# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Wed Jan 18 21:18:40 2023
# Spectral unit: Wavelength[nm]
# ------------------------------------------------------------------------
# Wave/freq Total H2O CO2 O3 N2O CO CH4 O2 N2 Rayleigh CIA
3.599359708e+02 7.60399e-01 9.99999e-01 9.99999e-01 9.99661e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.62115e-01 9.98085e-01
3.601159388e+02 7.60793e-01 9.99999e-01 9.99999e-01 9.99699e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.62529e-01 9.98022e-01
3.602959968e+02 7.61182e-01 9.99998e-01 9.99999e-01 9.99718e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.62942e-01 9.97974e-01
3.604761448e+02 7.61589e-01 9.99997e-01 9.99999e-01 9.99754e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.63354e-01 9.97933e-01
3.606563829e+02 7.62001e-01 9.99997e-01 9.99999e-01 9.99794e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.63766e-01 9.97895e-01
3.608367110e+02 7.62411e-01 9.99997e-01 9.99999e-01 9.99826e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.64178e-01 9.97861e-01
3.610171294e+02 7.62824e-01 9.99996e-01 9.99999e-01 9.99842e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.64588e-01 9.97851e-01
3.611976380e+02 7.63283e-01 9.99997e-01 9.99999e-01 9.99861e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.64998e-01 9.97896e-01
3.613782368e+02 7.63785e-01 9.99996e-01 9.99999e-01 9.99881e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.65408e-01 9.98000e-01
3.615589259e+02 7.64311e-01 9.99993e-01 9.99999e-01 9.99897e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.65817e-01 9.98140e-01
3.617397054e+02 7.64858e-01 9.99993e-01 9.99999e-01 9.99912e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.66225e-01 9.98309e-01
3.619205752e+02 7.65414e-01 9.99980e-01 9.99999e-01 9.99922e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.66632e-01 9.98506e-01
3.621015355e+02 7.65983e-01 9.99985e-01 9.99999e-01 9.99928e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.67040e-01 9.98706e-01
3.622825863e+02 7.66533e-01 9.99979e-01 9.99999e-01 9.99933e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.67446e-01 9.98895e-01
3.624637276e+02 7.67064e-01 9.99975e-01 9.99999e-01 9.99937e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.67852e-01 9.99058e-01
3.626449594e+02 7.67590e-01 9.99984e-01 9.99999e-01 9.99942e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.68257e-01 9.99202e-01
3.628262819e+02 7.68097e-01 9.99983e-01 9.99999e-01 9.99945e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.68662e-01 9.99333e-01
3.630076950e+02 7.68587e-01 9.99985e-01 9.99999e-01 9.99945e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.69066e-01 9.99445e-01
3.631891989e+02 7.69064e-01 9.99985e-01 9.99999e-01 9.99946e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.69469e-01 9.99538e-01
3.633707935e+02 7.69524e-01 9.99985e-01 9.99999e-01 9.99945e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.69872e-01 9.99614e-01
3.635524789e+02 7.69980e-01 9.99994e-01 9.99999e-01 9.99942e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.70275e-01 9.99679e-01
3.637342551e+02 7.70417e-01 9.99984e-01 9.99999e-01 9.99941e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.70676e-01 9.99736e-01
3.639161223e+02 7.70860e-01 9.99989e-01 9.99999e-01 9.99944e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.71077e-01 9.99783e-01
3.640980803e+02 7.71293e-01 9.99988e-01 9.99999e-01 9.99948e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.71478e-01 9.99822e-01
3.642801294e+02 7.71721e-01 9.99988e-01 9.99999e-01 9.99952e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.71878e-01 9.99854e-01
3.644622694e+02 7.72142e-01 9.99991e-01 9.99999e-01 9.99950e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.72277e-01 9.99882e-01
